time_s,mission_phase,armed,flight_mode,latitude_deg,longitude_deg,absolute_altitude_m,relative_altitude_m,roll_deg,pitch_deg,yaw_deg
13.116,hover,True,HOLD,47.3979712,8.5461639,3.1430001258850098,2.9000000953674316,0.24950383603572845,-0.31121304631233215,96.8637924194336
13.317,hover,True,HOLD,47.3979712,8.5461639,3.1520001888275146,2.9090001583099365,0.2222996950149536,-0.3171234428882599,96.87364196777344
13.518,hover,True,HOLD,47.397971299999995,8.5461639,3.1570000648498535,2.9140000343322754,0.19736532866954803,-0.33019304275512695,96.87100219726562
13.719,hover,True,HOLD,47.397971299999995,8.5461639,3.1600000858306885,2.9180002212524414,0.23208624124526978,-0.3216535747051239,96.84223175048828
13.92,hover,True,HOLD,47.397971399999996,8.546164,3.1650002002716064,2.9230000972747803,0.3087221086025238,-0.2797301113605499,96.81141662597656
14.121,hover,True,HOLD,47.3979715,8.546164,3.1690001487731934,2.927000045776367,0.36396652460098267,-0.22725051641464233,96.80049896240234
14.322,hover,True,HOLD,47.3979715,8.5461641,3.1740002632141113,2.932000160217285,0.3775862157344818,-0.1937226951122284,96.80731201171875
14.523,hover,True,HOLD,47.397971399999996,8.5461641,3.1780002117156982,2.936000108718872,0.33949992060661316,-0.15864115953445435,96.81625366210938
14.724,hover,True,HOLD,47.397971399999996,8.5461642,3.183000087738037,2.940000057220459,0.26335760951042175,-0.11859080940485,96.8164291381836
14.925,hover,True,HOLD,47.397971299999995,8.5461642,3.187000036239624,2.944000244140625,0.1688869148492813,-0.08240503072738647,96.81587219238281
15.126,hover,True,HOLD,47.3979712,8.5461643,3.188000202178955,2.946000099182129,0.06023938208818436,-0.06412191689014435,96.8216323852539
15.327,hover,True,HOLD,47.3979711,8.5461643,3.190000057220459,2.948000192642212,-0.037707846611738205,-0.06975506991147995,96.8230972290039
15.528,hover,True,HOLD,47.3979711,8.5461643,3.194000244140625,2.951000213623047,-0.08841734379529953,-0.07828834652900696,96.81564331054688
15.728,hover,True,HOLD,47.397971,8.5461643,3.19700026512146,2.955000162124634,-0.09172797948122025,-0.07328873872756958,96.8158187866211
15.93,hover,True,HOLD,47.397971,8.5461643,3.200000047683716,2.9580001831054688,-0.06216251477599144,-0.08190054446458817,96.83297729492188
16.131,hover,True,HOLD,47.397971,8.5461642,3.204000234603882,2.9610002040863037,-0.012758244760334492,-0.1411299705505371,96.85975646972656
16.332,hover,True,HOLD,47.3979711,8.5461641,3.2060000896453857,2.9630000591278076,0.04759388789534569,-0.24198924005031586,96.86902618408203
16.532,hover,True,HOLD,47.397971,8.546164,3.207000255584717,2.9650001525878906,0.07847291976213455,-0.3569307327270508,96.8550796508789
16.733,hover,True,HOLD,47.397971,8.5461639,3.2090001106262207,2.9660000801086426,0.04899517446756363,-0.428813099861145,96.84099578857422
16.934,hover,True,HOLD,47.397971,8.5461638,3.2110002040863037,2.9680001735687256,-0.008647432550787926,-0.4610213041305542,96.83283996582031
17.135,hover,True,HOLD,47.3979709,8.5461637,3.2120001316070557,2.9700000286102295,-0.07192020863294601,-0.46896088123321533,96.83792877197266
17.336,hover,True,HOLD,47.3979709,8.5461637,3.2130000591278076,2.9700000286102295,-0.1169724091887474,-0.454828679561615,96.85134887695312
17.537,hover,True,HOLD,47.3979709,8.5461636,3.2130000591278076,2.9700000286102295,-0.10230554640293121,-0.41816532611846924,96.85676574707031
17.738,hover,True,HOLD,47.3979709,8.5461636,3.2130000591278076,2.9700000286102295,-0.03577808663249016,-0.38185715675354004,96.84796905517578
17.939,hover,True,HOLD,47.3979709,8.5461636,3.2140002250671387,2.9710001945495605,0.007781958673149347,-0.36627084016799927,96.86531066894531
18.14,hover,True,HOLD,47.3979709,8.5461636,3.2150001525878906,2.9730000495910645,0.01071299146860838,-0.3388975262641907,96.9053955078125
18.341,hover,True,HOLD,47.3979709,8.5461637,3.2150001525878906,2.9720001220703125,0.01238222885876894,-0.3066383898258209,96.90461730957031
18.542,hover,True,HOLD,47.397971,8.5461637,3.2130000591278076,2.9710001945495605,0.04732947796583176,-0.30439993739128113,96.85840606689453
18.743,hover,True,HOLD,47.397971,8.5461637,3.2120001316070557,2.9700000286102295,0.10792816430330276,-0.305795818567276,96.82284545898438
18.944,hover,True,HOLD,47.397971,8.5461637,3.2120001316070557,2.9700000286102295,0.16962502896785736,-0.2958067059516907,96.80752563476562
19.145,hover,True,HOLD,47.3979711,8.5461637,3.2120001316070557,2.9690001010894775,0.19624105095863342,-0.2915884554386139,96.82697296142578
19.345,hover,True,HOLD,47.3979711,8.5461637,3.2110002040863037,2.9680001735687256,0.1881462186574936,-0.3008471429347992,96.85057067871094
19.546,landing,True,HOLD,47.3979711,8.5461636,3.2100000381469727,2.9670002460479736,0.14699985086917877,-0.33178216218948364,96.86845397949219
19.747,landing,True,LAND,47.3979711,8.5461636,3.18500018119812,2.942000150680542,0.10652332007884979,-0.32552260160446167,96.87105560302734
19.948,landing,True,LAND,47.3979711,8.5461636,3.0950000286102295,2.8520002365112305,0.10029812157154083,-0.321152925491333,96.86529541015625
20.149,landing,True,LAND,47.3979711,8.5461636,2.943000078201294,2.700000047683716,0.09608277678489685,-0.31463679671287537,96.86924743652344
20.349,landing,True,LAND,47.3979711,8.5461635,2.7910001277923584,2.5480000972747803,0.07128831744194031,-0.34778261184692383,96.87327575683594
20.55,landing,True,LAND,47.3979711,8.5461635,2.6660001277923584,2.4230000972747803,0.03344544768333435,-0.3790552616119385,96.87476348876953
