time,setpoint,altitude,velocity,acceleration,thrust,error
4.33,10,12.4362,-3.31837,-0.655621,13.7316,-2.43618
4.34,10,12.4029,-3.32428,-0.591131,13.8283,-2.40294
4.35,10,12.3696,-3.32955,-0.527164,13.9243,-2.36964
4.36,10,12.3363,-3.33419,-0.463726,14.0194,-2.3363
4.37,10,12.3029,-3.33819,-0.400822,14.1138,-2.30292
4.38,10,12.2695,-3.34158,-0.33846,14.2073,-2.2695
4.39,10,12.2361,-3.34434,-0.276645,14.3,-2.23606
4.4,10,12.2026,-3.3465,-0.215383,14.3919,-2.2026
4.41,10,12.1691,-3.34805,-0.154679,14.483,-2.16912
4.42,10,12.1356,-3.34899,-0.094538,14.5732,-2.13563
4.43,10,12.1021,-3.34934,-0.0349662,14.6626,-2.10213
4.44,10,12.0686,-3.3491,0.0240316,14.751,-2.06864
4.45,10,12.0352,-3.34828,0.0824507,14.8387,-2.03516
4.46,10,12.0017,-3.34687,0.140286,14.9254,-2.00169
4.47,10,11.9682,-3.3449,0.197533,15.0113,-1.96824
4.48,10,11.9348,-3.34236,0.254188,15.0963,-1.93482
4.49,10,11.9014,-3.33925,0.310246,15.1804,-1.90142
4.5,10,11.8681,-3.3356,0.365702,15.2636,-1.86807
4.51,10,11.8348,-3.33139,0.420553,15.3458,-1.83475
4.52,10,11.8015,-3.32664,0.474795,15.4272,-1.80149
4.53,10,11.7683,-3.32136,0.528425,15.5076,-1.76827
4.54,10,11.7351,-3.31554,0.581438,15.5872,-1.73512
4.55,10,11.702,-3.30921,0.633831,15.6657,-1.70203
4.56,10,11.669,-3.30235,0.685601,15.7434,-1.669
4.57,10,11.6361,-3.29498,0.736745,15.8201,-1.63605
4.58,10,11.6032,-3.28711,0.787259,15.8959,-1.60318
4.59,10,11.5704,-3.27874,0.837141,15.9707,-1.5704
4.6,10,11.5377,-3.26987,0.886389,16.0446,-1.5377
4.61,10,11.5051,-3.26052,0.934999,16.1175,-1.50509
4.62,10,11.4726,-3.25069,0.982969,16.1895,-1.47258
4.63,10,11.4402,-3.24039,1.0303,16.2604,-1.44018
4.64,10,11.4079,-3.22962,1.07698,16.3305,-1.40788
4.65,10,11.3757,-3.21839,1.12302,16.3995,-1.3757
4.66,10,11.3436,-3.20671,1.16841,16.4676,-1.34363
4.67,10,11.3117,-3.19458,1.21315,16.5347,-1.31169
4.68,10,11.2799,-3.182,1.25723,16.6008,-1.27987
4.69,10,11.2482,-3.169,1.30067,16.666,-1.24818
4.7,10,11.2166,-3.15556,1.34345,16.7302,-1.21662
4.71,10,11.1852,-3.14171,1.38557,16.7934,-1.1852
4.72,10,11.1539,-3.12744,1.42704,16.8556,-1.15393
4.73,10,11.1228,-3.11276,1.46784,16.9168,-1.1228
4.74,10,11.0918,-3.09768,1.50799,16.977,-1.09183
4.75,10,11.061,-3.0822,1.54748,17.0362,-1.061
