time_sec,true_angle_deg,accel_angle_deg,gyro_angle_deg,complementary_angle_deg,measured_gyro_rate_deg_s
2.860,8.635288,10.379009,10.168012,8.761741,1.378725
2.870,8.641138,14.334714,10.180439,8.885379,1.242700
2.880,8.647303,11.074819,10.190410,8.938939,0.997050
2.890,8.653754,4.702905,10.202161,8.865734,1.175106
2.900,8.660461,9.777115,10.212965,8.894550,1.080440
2.910,8.667394,11.521096,10.227217,8.961048,1.425177
2.920,8.674523,11.681275,10.252201,9.039936,2.498376
2.930,8.681818,7.615305,10.245029,9.004416,-0.717170
2.940,8.689246,11.601608,10.256614,9.067713,1.158540
2.950,8.696778,11.016134,10.271594,9.121361,1.497956
2.960,8.704381,15.135675,10.287585,9.257319,1.599103
2.970,8.712024,6.837020,10.298256,9.219371,1.067148
2.980,8.719675,7.451174,10.297841,9.183600,-0.041539
2.990,8.727301,7.962003,10.314063,9.175065,1.622159
3.000,8.734870,7.509315,10.341406,9.168546,2.734313
3.010,8.742350,6.517298,10.342553,9.116646,0.114739
3.020,8.749707,1.843018,10.362743,8.990959,2.018995
3.030,8.756908,7.670160,10.373222,8.974813,1.047909
3.040,8.763921,9.687317,10.385634,9.001226,1.241145
3.050,8.770712,7.537658,10.389874,8.976110,0.424025
3.060,8.777248,13.615701,10.399590,9.078424,0.971573
3.070,8.783495,8.816935,10.422076,9.095230,2.248612
3.080,8.789420,12.016992,10.438483,9.169745,1.640775
3.090,8.794988,9.448539,10.463715,9.200048,2.523203
3.100,8.800167,10.866185,10.484102,9.253349,2.038610
3.110,8.804922,9.503026,10.498140,9.272101,1.403897
3.120,8.809219,12.231181,10.522144,9.354806,2.400341
3.130,8.813026,8.952874,10.535200,9.359562,1.305570
3.140,8.816307,10.056609,10.550825,9.388816,1.562567
3.150,8.819029,9.734862,10.556879,9.401669,0.605343
3.160,8.821159,8.100445,10.565228,9.383827,0.834884
3.170,8.822662,9.835118,10.566821,9.394415,0.159387
3.180,8.823505,14.409471,10.581234,9.508841,1.441310
3.190,8.823655,8.147663,10.577594,9.478049,-0.364036
3.200,8.823078,9.871740,10.588895,9.496998,1.130109
3.210,8.821740,11.966187,10.591635,9.549067,0.273999
3.220,8.819608,11.670241,10.604460,9.604059,1.282491
3.230,8.816649,8.845941,10.613079,9.597343,0.861860
3.240,8.812831,2.854360,10.629379,9.478458,1.630068
3.250,8.808121,10.099878,10.636052,9.497426,0.667290
3.260,8.802485,3.253799,10.623361,9.360116,-1.269092
3.270,8.795891,12.470734,10.621738,9.420737,-0.162378
3.280,8.788308,9.211993,10.610268,9.405322,-1.146981
3.290,8.779704,11.278889,10.602990,9.435661,-0.727740
3.300,8.770046,6.514768,10.610880,9.384976,0.788973
3.310,8.759304,4.878035,10.610680,9.294641,-0.020004
3.320,8.747445,9.399331,10.598657,9.284952,-1.202296
3.330,8.734441,8.650432,10.582954,9.256873,-1.570314
3.340,8.720259,7.491407,10.574431,9.213210,-0.852340
3.350,8.704869,8.916522,10.554690,9.187931,-1.974043
3.360,8.688243,15.606832,10.538061,9.300012,-1.662906
3.370,8.670349,10.756663,10.528016,9.319301,-1.004519
3.380,8.651160,11.274907,10.523407,9.353896,-0.460907
3.390,8.630646,10.740488,10.513086,9.371514,-1.032034
3.400,8.608779,12.307435,10.478199,9.396043,-3.488780
3.410,8.585531,8.110352,10.462681,9.355122,-1.551736
3.420,8.560875,3.423971,10.443883,9.218077,-1.879818
3.430,8.534782,8.063317,10.426371,9.177819,-1.751238
3.440,8.507228,10.536567,10.417001,9.195812,-0.936932
3.450,8.478184,6.053683,10.376695,9.093470,-4.030637
3.460,8.447627,8.006712,10.346639,9.042279,-3.005626
3.470,8.415530,6.686105,10.324487,8.973447,-2.215216
3.480,8.381868,12.136941,10.283378,8.996430,-4.110865
3.490,8.346618,10.220260,10.265129,9.003023,-1.824876
3.500,8.309755,9.938607,10.236396,8.993576,-2.873342
3.510,8.271257,9.825260,10.209841,8.984186,-2.655444
3.520,8.231101,8.137978,10.170278,8.928489,-3.956387
3.530,8.189265,8.683155,10.140100,8.894009,-3.017721
3.540,8.145726,5.182765,10.110249,8.790529,-2.985178
3.550,8.100465,2.634361,10.071979,8.629902,-3.826940
3.560,8.053462,8.428664,10.031969,8.586667,-4.001014
3.570,8.004695,8.814670,9.990474,8.550562,-4.149496
3.580,7.954146,10.977308,9.938118,8.547789,-5.235565
3.590,7.901797,11.830137,9.889680,8.565966,-4.843850
3.600,7.847630,11.772626,9.839374,8.580800,-5.030539
3.610,7.791627,5.296568,9.791513,8.468211,-4.786190
3.620,7.733771,6.853109,9.746722,8.392014,-4.479057
3.630,7.674048,8.874884,9.683589,8.339801,-6.313315
3.640,7.612442,13.942203,9.626033,8.395444,-5.755556
3.650,7.548937,11.249185,9.579425,8.406843,-4.660870
3.660,7.483521,10.282014,9.513097,8.379345,-6.632746
3.670,7.416180,6.446710,9.444209,8.273182,-6.888801
3.680,7.346901,5.138902,9.381574,8.149114,-6.263497
3.690,7.275673,9.247943,9.322121,8.112827,-5.945318
3.700,7.202484,4.450831,9.254039,7.972866,-6.808240
3.710,7.127325,6.531234,9.194521,7.885706,-5.951766
3.720,7.050186,6.763241,9.129241,7.799283,-6.527979
3.730,6.971057,10.953337,9.061848,7.796319,-6.739289
3.740,6.889931,6.003188,8.990153,7.690194,-7.169559
3.750,6.806800,0.708676,8.930637,7.492239,-5.951539
3.760,6.721658,7.982769,8.848845,7.421893,-8.179226
3.770,6.634498,4.886943,8.750646,7.274959,-9.819899
3.780,6.545316,6.651894,8.679285,7.192564,-7.136137
3.790,6.454107,6.237346,8.589399,7.085371,-8.988555
3.800,6.360868,5.676608,8.502006,6.971551,-8.739264
3.810,6.265596,8.241447,8.422193,6.918732,-7.981343
